Genus,Day_Pupation_27
Paraburkholderia,18
Paraburkholderia,18
Paraburkholderia,18
Paraburkholderia,19
Paraburkholderia,19
Paraburkholderia,19
Paraburkholderia,19
Paraburkholderia,19
Paraburkholderia,19
Paraburkholderia,19
Paraburkholderia,19
Paraburkholderia,19
Paraburkholderia,20
Paraburkholderia,20
Paraburkholderia,20
Paraburkholderia,20
Paraburkholderia,21
Paraburkholderia,21
Paraburkholderia,21
Paraburkholderia,21
Paraburkholderia,21
Paraburkholderia,21
Paraburkholderia,22
Paraburkholderia,22
Paraburkholderia,22
Paraburkholderia,22
Paraburkholderia,22
Paraburkholderia,23
Paraburkholderia,23
Paraburkholderia,23
Paraburkholderia,23
Paraburkholderia,23
Paraburkholderia,23
Paraburkholderia,23
Paraburkholderia,23
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,24
Paraburkholderia,25
Paraburkholderia,25
Paraburkholderia,25
Paraburkholderia,25
Paraburkholderia,26
Paraburkholderia,26
Paraburkholderia,27
Paraburkholderia,27
Paraburkholderia,27
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Paraburkholderia,NA
Rhizobium,15
Rhizobium,15
Rhizobium,15
Rhizobium,16
Rhizobium,16
Rhizobium,17
Rhizobium,17
Rhizobium,17
Rhizobium,17
Rhizobium,17
Rhizobium,17
Rhizobium,18
Rhizobium,18
Rhizobium,18
Rhizobium,18
Rhizobium,18
Rhizobium,18
Rhizobium,19
Rhizobium,19
Rhizobium,19
Rhizobium,19
Rhizobium,19
Rhizobium,19
Rhizobium,19
Rhizobium,19
Rhizobium,19
Rhizobium,19
Rhizobium,20
Rhizobium,20
Rhizobium,20
Rhizobium,20
Rhizobium,20
Rhizobium,20
Rhizobium,21
Rhizobium,21
Rhizobium,21
Rhizobium,22
Rhizobium,22
Rhizobium,22
Rhizobium,22
Rhizobium,22
Rhizobium,23
Rhizobium,23
Rhizobium,23
Rhizobium,23
Rhizobium,23
Rhizobium,23
Rhizobium,24
Rhizobium,24
Rhizobium,24
Rhizobium,24
Rhizobium,24
Rhizobium,25
Rhizobium,25
Rhizobium,25
Rhizobium,25
Rhizobium,26
Rhizobium,26
Rhizobium,26
Rhizobium,26
Rhizobium,27
Rhizobium,27
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
Rhizobium,NA
